system,region,line_name,years,color_r,color_g,color_b,stations
OC Transpo,Ottawa,Line 1 - Confederation Line,2019,211,15,29,Tunney’s Pasture|Bayview|Pimisi|Lyon|Parliament|Rideau|uOttawa|Lees|Hurdman|Tremblay|St-Laurent|Cyrville|Blair
OC Transpo,Ottawa,Line 1 - Stage 2 East,TBD,211,15,29,Tunney’s Pasture|Bayview|Pimisi|Lyon|Parliament|Rideau|uOttawa|Lees|Hurdman|Tremblay|St-Laurent|Cyrville|Blair|Montréal|Jeanne d’Arc|Convent Glen|Place d’Orléans|Trim
OC Transpo,Ottawa,Line 2 - Trillium Line,2001-2020,80,129,40,Bayview|Dow’s Lake|Carleton|Mooney’s Bay|Greenboro
OC Transpo,Ottawa,Line 2,2025,80,129,40,Bayview|Corso Italia|Dow’s Lake|Carleton|Mooney’s Bay|Walkley|Greenboro|South Keys|Leitrim|Bowesville|Limebank
OC Transpo,Ottawa,Line 3 - Stage 2 West,TBD,143,114,0,Moodie|Bayshore|Pinecrest|Queensview|Lincoln Fields|New Orchard|Sherbourne|Kichi Zìbì|Westboro|Tunney’s Pasture|Bayview|Pimisi|Lyon|Parliament|Rideau|uOttawa|Lees|Hurdman|Tremblay|St-Laurent|Cyrville|Blair|Montréal|Jeanne d’Arc|Convent Glen|Place d’Orléans|Trim
OC Transpo,Ottawa,Line 4,2025,9,128,165,Airport|Uplands|South Keys
OC Transpo,Ottawa,Line 1 - Stage 2 West,TBD,211,15,29,Algonquin|Iris|Lincoln Fields|New Orchard|Sherbourne|Kichi Zìbì|Westboro|Tunney’s Pasture|Bayview|Pimisi|Lyon|Parliament|Rideau|uOttawa|Lees|Hurdman|Tremblay|St-Laurent|Cyrville|Blair|Montréal|Jeanne d’Arc|Convent Glen|Place d’Orléans|Trim
Société de transport de Montréal (STM),Montréal,Line 1 - Green Line,1978,0,151,57,Angrignon|Monk|Jolicoeur|Verdun|De l’Église|LaSalle|Charlevoix|Lionel-Groulx|Atwater|Guy-Concordia|Peel|McGill|Place-des-Arts|Saint-Laurent|Berri-UQAM|Beaudry|Papineau|Frontenac|Préfontaine|Joliette|Pie-IX|Viau|Assomption|Cadillac|Langelier|Radisson|Honoré-Beaugrand
Société de transport de Montréal (STM),Montréal,Line 2 - Orange Line,2007,232,119,34,Côte-Vertu|Du Collège|De la Savane|Namur|Plamondon|Côte-Sainte-Catherine|Snowdon|Villa-Maria|Vendôme|Lionel-Groulx|Georges-Vanier|Lucien-L’Allier|Bonaventure|Square-Victoria-OACI|Place-d’Armes|Champ-de-Mars|Berri-UQAM|Sherbrooke|Mont-Royal|Laurier|Rosemont|Beaubien|Jean-Talon|Jarry|Crémazie|Sauvé|Henri-Bourassa|Cartier|De la Concorde|Montmorency
Société de transport de Montréal (STM),Montréal,Line 5 - Blue Line,1988,0,94,184,Snowdon|Côte-des-Neiges|Université-de-Montréal|Édouard-Montpetit|Outremont|Acadie|Parc|De Castelnau|Jean-Talon|Fabre|D’Iberville|Saint-Michel
Société de transport de Montréal (STM),Montréal,Line 4 - Yellow Line,1967,255,205,0,Berri-UQAM|Jean-Drapeau|Longueuil-Université-de-Sherbrooke
Réseau Express Métropolitain (REM),Montréal,Gare centrale - Brossard,2023,132,189,0,Gare centrale|Île-des-Sœurs|Panama|Du Quartier|Brossard
Réseau Express Métropolitain (REM),Montréal,Deux-Montagnes - Brossard,2025,3,70,56,Deux-Montagnes|Grand-Moulin|Sainte-Dorothée|Île-Bigras|Pierrefonds-Roxboro|Sunnybrooke|Bois-Franc|Du Ruisseau|Montpellier|Côte-de-Liesse|Ville-de-Mont-Royal|Canora|Édouard-Montpetit|McGill|Gare centrale|Griffintown-Bernard-Landry|Île-des-Sœurs|Panama|Du Quartier|Brossard
Réseau Express Métropolitain (REM),Montréal,Anse-à-l’Orme - Brossard,TBD,58,127,115,Anse-à-l’Orme|Kirkland|Fairview-Pointe-Claire|Des Sources|Bois-Franc|Du Ruisseau|Montpellier|Côte-de-Liesse|Ville-de-Mont-Royal|Canora|Édouard-Montpetit|McGill|Gare centrale|Griffintown-Bernard-Landry|Île-des-Sœurs|Panama|Du Quartier|Brossard
Réseau Express Métropolitain (REM),Montréal,YUL - Brossard,TBD,111,143,130,YUL-Aéroport-Montréal-Trudeau|Marie-Curie|Côte-de-Liesse|Ville-de-Mont-Royal|Canora|Édouard-Montpetit|McGill|Gare centrale|Griffintown-Bernard-Landry|Île-des-Sœurs|Panama|Du Quartier|Brossard
Toronto Transit Commission (TTC),Toronto,Line 1 - Yonge-University,2017,255,215,0,Vaughan Metropolitan Centre|Highway 407|Pioneer Village|York University|Finch West|Downsview Park|Sheppard West|Wilson|Yorkdale|Lawrence West|Glencairn|Eglinton West|St Clair West|Dupont|Spadina|St George|Museum|Queen's Park|St Patrick|Osgoode|St Andrew|Union|King|Queen|Dundas|College|Wellesley|Bloor-Yonge|Rosedale|Summerhill|St Clair|Davisville|Eglinton|Lawrence|York Mills|Sheppard-Yonge|North York Centre|Finch
Toronto Transit Commission (TTC),Toronto,Line 2 - Bloor-Danforth,1980,0,166,81,Kipling|Islington|Royal York|Old Mill|Jane|Runnymede|High Park|Keele|Dundas West|Lansdowne|Dufferin|Ossington|Christie|Bathurst|Spadina|St George|Bay|Bloor-Yonge|Sherbourne|Castle Frank|Broadview|Chester|Pape|Donlands|Greenwood|Coxwell|Woodbine|Main Street|Victoria Park|Warden|Kennedy
Toronto Transit Commission (TTC),Toronto,Line 3 - Scarborough RT,1985-2023,0,174,239,Kennedy|Lawrence East|Ellesmere|Midland|Scarborough Centre|McCowan
Toronto Transit Commission (TTC),Toronto,Line 4 - Sheppard,2002,131,65,135,Sheppard-Yonge|Bayview|Bessarion|Leslie|Don Mills
Toronto Transit Commission (TTC),Toronto,Line 5 - Eglinton Crosstown,2026,248,112,5,Mount Dennis|Keelesdale|Caledonia|Fairbank|Oakwood|Cedarvale|Forest Hill|Chaplin|Avenue|Eglinton|Mount Pleasant|Leaside|Laird|Sunnybrook Park|Don Valley|Aga Khan Park & Museum|Wynford|Sloane|O'Connor|Pharmacy|Hakimi Lebovic|Golden Mile|Birchmount|Ionview|Kennedy
Toronto Transit Commission (TTC),Toronto,Line 5 - Eglinton Crosstown (Phase 2),TBD,248,112,5,Renforth|Martin Grove|Kipling|Islington|Royal York|Scarlett|Jane|Mount Dennis|Keelesdale|Caledonia|Fairbank|Oakwood|Cedarvale|Forest Hill|Chaplin|Avenue|Eglinton|Mount Pleasant|Leaside|Laird|Sunnybrook Park|Don Valley|Aga Khan Park & Museum|Wynford|Sloane|O'Connor|Pharmacy|Hakimi Lebovic|Golden Mile|Birchmount|Ionview|Kennedy
Toronto Transit Commission (TTC),Toronto,Line 6 - Finch West LRT,2025,138,153,154,Humber College|Westmore|Martin Grove|Albion|Stevenson|Mount Olive|Rowntree Mills|Pearldale|Duncanwoods|Milvan Rumike|Emery|Signet Arrow|Norfinch Oakdale|Jane and Finch|Driftwood|Tobermory|Sentinel|Finch West
Metrolinx,Peel Region,Line 10 - Hazel McCallion Line,TBD,0,0,0,Steeles Avenue|County Court|Ray Lawson|Derry|Courtneypark|Britannia|Matheson|Bristol|Eglinton|City Centre|Robert Speck|Burnhamthorpe|Fairview|Cooksville GO|Dundas|The Queensway|North Service Road|Mineola|Port Credit GO
